image_id,manga,page_id,iou,precision,recall,f1,inference_time_seconds
ARMS/000,ARMS,000,0.4176751177165294,0.7914093491622953,0.4693432606878485,0.5892395408466856,0.6885511875152588
ARMS/001,ARMS,001,0.773480341814095,0.7874107389434647,0.9776389909380357,0.8722739390760893,0.5674393177032471
ARMS/002,ARMS,002,0.8183137191681444,0.9657534246575342,0.842769384027893,0.900079794308006,0.4965476989746094
ARMS/003,ARMS,003,0.837291515591008,0.9052332418659349,0.9177347242921013,0.9114411169766639,0.4992201328277588
ARMS/004,ARMS,004,0.8035298149417409,0.8481154597410113,0.938593330931508,0.8910635225264597,0.505425214767456
ARMS/005,ARMS,005,0.751632680962046,0.8328710932948004,0.8851350514570201,0.8582081039378966,0.519395112991333
ARMS/006,ARMS,006,0.820226843100189,0.8826934457760024,0.9205739965668216,0.9012358500363484,0.5375556945800781
ARMS/007,ARMS,007,0.7628776786902702,0.8164093798408205,0.920852328640572,0.8654913360262751,0.572406530380249
ARMS/008,ARMS,008,0.7593930039940149,0.8404177641014943,0.8873454665602026,0.8632443146813812,0.5377769470214844
ARMS/009,ARMS,009,0.7210950971834884,0.7704222629106914,0.9184506297536572,0.8379491619766221,0.5508065223693848
AisazuNihaIrarenai/000,AisazuNihaIrarenai,000,0.5654489334569905,0.6130382869082968,0.8792856740465326,0.722411215558857,0.54195237159729
AisazuNihaIrarenai/001,AisazuNihaIrarenai,001,0.78657302273965,0.8618628085681312,0.9000411522633744,0.8805383409780436,0.5235724449157715
AisazuNihaIrarenai/002,AisazuNihaIrarenai,002,0.7242409419656896,0.7519180194069103,0.9516343770085391,0.8400693016139981,0.5224480628967285
AisazuNihaIrarenai/003,AisazuNihaIrarenai,003,0.7923070638112444,0.9351327025897631,0.8383846146456738,0.8841197803756305,0.5268373489379883
AisazuNihaIrarenai/004,AisazuNihaIrarenai,004,0.7229597642459079,0.9392721758908263,0.7584095987266996,0.8392067873533048,0.5091750621795654
AisazuNihaIrarenai/005,AisazuNihaIrarenai,005,0.6875405449237756,0.9729613426091945,0.7009331307933162,0.8148432901264971,0.5070827007293701
AisazuNihaIrarenai/006,AisazuNihaIrarenai,006,0.7621851620319022,0.9437203495630462,0.7984789267983522,0.8650454883561252,0.5172147750854492
AisazuNihaIrarenai/007,AisazuNihaIrarenai,007,0.7031029759186833,0.8654724957845605,0.7893727990014711,0.8256728875004372,0.5326578617095947
AisazuNihaIrarenai/008,AisazuNihaIrarenai,008,0.7644498816734187,0.8868956210154032,0.8470256216528521,0.8665022334875367,0.5251126289367676
AisazuNihaIrarenai/009,AisazuNihaIrarenai,009,0.8432772180284893,0.9923987585258424,0.8487593978986855,0.9149760109664153,0.5298070907592773
AkkeraKanjinchou/000,AkkeraKanjinchou,000,0.7801742189463104,0.8023775425599501,0.9657460568436604,0.8765144564424683,0.5332064628601074
AkkeraKanjinchou/001,AkkeraKanjinchou,001,0.8212633502770004,0.9467152403629859,0.8610650911195832,0.9018611725230098,0.529470682144165
AkkeraKanjinchou/002,AkkeraKanjinchou,002,0.5439191234336219,0.5701865718999873,0.9219166837676995,0.7045953575909661,0.519883394241333
AkkeraKanjinchou/003,AkkeraKanjinchou,003,0.8122590058012297,0.9022592656904169,0.8906261902948123,0.8964049875885336,0.5164804458618164
AkkeraKanjinchou/004,AkkeraKanjinchou,004,0.741320492298003,0.8764834551123936,0.8277999179511223,0.8514463541627422,0.5197961330413818
AkkeraKanjinchou/005,AkkeraKanjinchou,005,0.8275800250981017,0.9752587967418606,0.8453274736006836,0.9056566757493189,0.5543313026428223
AkkeraKanjinchou/006,AkkeraKanjinchou,006,0.7059442758318979,0.8377869716881642,0.81771394185089,0.8276287635334941,0.5615708827972412
AkkeraKanjinchou/007,AkkeraKanjinchou,007,0.7191328934967012,0.8983997288280734,0.7827952309151109,0.8366228070175439,0.5886225700378418
AkkeraKanjinchou/008,AkkeraKanjinchou,008,0.724931941923775,0.818251653744932,0.8640638144453792,0.8405339646215558,0.5720610618591309
AkkeraKanjinchou/009,AkkeraKanjinchou,009,0.4988465228960101,0.9017147636971978,0.527530099239333,0.6656405646285375,0.5789728164672852
Akuhamu/000,Akuhamu,000,0.7971557923850162,0.930634446334753,0.8475120962233901,0.8871304266026997,0.5547733306884766
Akuhamu/001,Akuhamu,001,0.8199729421817146,0.8907978402462986,0.911607545735931,0.9010825635668651,0.522761344909668
Akuhamu/002,Akuhamu,002,0.8990479127317581,0.9880748130732244,0.908910235177211,0.9468406844337994,0.5119338035583496
Akuhamu/003,Akuhamu,003,0.9260846116970278,0.9938265650622167,0.9314428640308583,0.961624018044645,0.5230066776275635
Akuhamu/004,Akuhamu,004,0.8288801694070752,0.9279389206526286,0.8859044766184058,0.9064346404672309,0.5304567813873291
Akuhamu/005,Akuhamu,005,0.878611587773267,0.984508121121168,0.8909291534631055,0.9353839755824057,0.5349228382110596
Akuhamu/006,Akuhamu,006,0.7945409218391456,0.963069157338095,0.8195099858284512,0.8855088364603642,0.5350828170776367
Akuhamu/007,Akuhamu,007,0.8760330578512396,0.9570957095709571,0.9118414807783578,0.933920704845815,0.5312685966491699
Akuhamu/008,Akuhamu,008,0.9069983580656155,0.994058128480239,0.9119424370794916,0.9512313990512704,0.5109307765960693
Akuhamu/009,Akuhamu,009,0.8182498616941651,0.89499537267744,0.9051441736563591,0.9000411647844219,0.5110719203948975
AosugiruHaru/000,AosugiruHaru,000,0.3668149066594128,0.39055817117608627,0.8578297211332199,0.5367440827169979,0.5225710868835449
AosugiruHaru/001,AosugiruHaru,001,0.875415188875753,0.9952,0.879127091813659,0.9335694773812026,0.5311574935913086
AosugiruHaru/002,AosugiruHaru,002,0.08998034047311695,0.6539210546026515,0.09447954007439972,0.16510452002108603,0.5419178009033203
AosugiruHaru/003,AosugiruHaru,003,0.29141283042856386,0.7412747608139065,0.3244087987261898,0.45130855689556154,0.5363550186157227
AosugiruHaru/004,AosugiruHaru,004,0.6821768838417862,0.902591201375183,0.7363910243091627,0.8110643897136646,0.5419995784759521
AosugiruHaru/005,AosugiruHaru,005,0.7898210290827741,0.9558037225042301,0.8197596795727636,0.8825698393850384,0.5546607971191406
AosugiruHaru/006,AosugiruHaru,006,0.550494233937397,0.9713662790697675,0.559574646236289,0.710088721245285,0.5459942817687988
AosugiruHaru/007,AosugiruHaru,007,0.41388665363834926,0.9653582153582153,0.42012649069989966,0.5854594533066654,0.5630536079406738
AosugiruHaru/008,AosugiruHaru,008,0.8098177761249535,0.960564622849581,0.8376673334359133,0.8949163687173798,0.5345809459686279
AosugiruHaru/009,AosugiruHaru,009,0.734142305570877,0.9231836310039883,0.7819063004846527,0.8466921119592875,0.5642876625061035
AppareKappore/000,AppareKappore,000,0.5019528022059271,0.8369835753613014,0.5563429029788728,0.6684002339736722,0.5728702545166016
AppareKappore/001,AppareKappore,001,0.600926140942806,0.6914480612357167,0.8211139316111692,0.7507231290369372,0.5541744232177734
AppareKappore/002,AppareKappore,002,0.8375405411535234,0.9253050690320479,0.8982729262953053,0.9115886397017984,0.5446662902832031
AppareKappore/003,AppareKappore,003,0.4462187576864133,0.9306289953436983,0.4615715823466093,0.6170833496866701,0.5501329898834229
AppareKappore/004,AppareKappore,004,0.8447000821692687,0.937272064186725,0.8953144051558962,0.9158129175946549,0.5437502861022949
AppareKappore/005,AppareKappore,005,0.8136271709442695,0.9063334649418213,0.8883223309811064,0.8972375182498534,0.537318229675293
AppareKappore/006,AppareKappore,006,0.6495647786047685,0.9352137745650042,0.6801711953291151,0.7875589816535511,0.5296566486358643
AppareKappore/007,AppareKappore,007,0.9597595078299777,0.9793129030417166,0.9796203796203796,0.979466617200097,0.5366106033325195
AppareKappore/008,AppareKappore,008,0.8471394377434646,0.9456202849958089,0.8905224727416251,0.9172447086922275,0.5402476787567139
AppareKappore/009,AppareKappore,009,0.8331344239389882,0.9082586275287584,0.9096875695261101,0.9089725369389683,0.5470309257507324
Arisa/000,Arisa,000,0.6607470912431108,0.8214215343830047,0.7715831272188851,0.7957227138643067,0.5382897853851318
Arisa/001,Arisa,001,0.6674992877445687,0.7873286547148283,0.8143247437679847,0.800599187838235,0.5314621925354004
Arisa/002,Arisa,002,0.790774620474893,0.8911520858617614,0.8753195645304915,0.8831648733833278,0.5261790752410889
Arisa/003,Arisa,003,0.8493261253144123,0.9472637440857514,0.8914786720520146,0.9185249845210667,0.5243709087371826
Arisa/004,Arisa,004,0.8406075418994413,0.9145820274659525,0.9122255271583654,0.9134022574219861,0.5377638339996338
Arisa/005,Arisa,005,0.8683472242131346,0.966164642621158,0.8955816507561037,0.9295351666538795,0.5490362644195557
Arisa/006,Arisa,006,0.8306426231801279,0.877056948393211,0.9401055408970976,0.9074874720628594,0.5684287548065186
Arisa/007,Arisa,007,0.9032326108738069,0.9570319047885121,0.9414092557986149,0.9491562993544097,0.5912835597991943
Arisa/008,Arisa,008,0.7639905635138751,0.9114728412256268,0.8252246098880891,0.8662070867227354,0.5776524543762207
Arisa/009,Arisa,009,0.8597317051162511,0.879424659641566,0.9746147026732133,0.924576058741236,0.5881545543670654
BEMADER_P/000,BEMADER_P,000,0.5505560307955517,0.8840302185593666,0.5934145799096416,0.7101401301997131,0.5541574954986572
BEMADER_P/001,BEMADER_P,001,0.7742105888723075,0.9071131260928095,0.8408732321638601,0.8727380996687631,0.5499639511108398
BEMADER_P/002,BEMADER_P,002,0.6170103092783505,0.6609607951408062,0.9027149321266968,0.7631495058973541,0.5340785980224609
BEMADER_P/003,BEMADER_P,003,0.9570135746606335,0.9727251557315014,0.983402489626556,0.9780346820809249,0.5364229679107666
BEMADER_P/004,BEMADER_P,004,0.8400263451581624,0.8845116547871316,0.9435106033207299,0.9130590411040626,0.5534377098083496
