manga,page_id,image_path,gt_path,prediction_mask,image_height,image_width,threshold,inference_time_sec,iou,precision,recall,f1,tp,fp,fn
GakuenNoise,005,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/005.jpg,/content/data/groundtruth/post-processed/GakuenNoise/005.png,/content/benchmark_unetpp/masks/GakuenNoise/005.png,1170,1654,0.5,0.3197327640000367,0.12463017036335157,0.13621185222757629,0.5944475189079506,0.22163760789573234,6445,40871,4397
GakuenNoise,003,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/003.jpg,/content/data/groundtruth/post-processed/GakuenNoise/003.png,/content/benchmark_unetpp/masks/GakuenNoise/003.png,1170,1654,0.5,0.320508944999915,0.5703852863665045,0.599941437704358,0.9204953875643944,0.7264271912356483,61467,40988,5309
GakuenNoise,009,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/009.jpg,/content/data/groundtruth/post-processed/GakuenNoise/009.png,/content/benchmark_unetpp/masks/GakuenNoise/009.png,1170,1654,0.5,0.3214102230000435,0.6879574832580595,0.8016468933602523,0.8290868993993994,0.8151360328462524,35339,8744,7285
GakuenNoise,004,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/004.jpg,/content/data/groundtruth/post-processed/GakuenNoise/004.png,/content/benchmark_unetpp/masks/GakuenNoise/004.png,1170,1654,0.5,0.32056799800000135,0.5820386922582823,0.6190955937699033,0.9067503392130258,0.7358084161992912,53462,32893,5498
GakuenNoise,006,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/006.jpg,/content/data/groundtruth/post-processed/GakuenNoise/006.png,/content/benchmark_unetpp/masks/GakuenNoise/006.png,1170,1654,0.5,0.3219162050000932,0.5737689941837449,0.6212638277527738,0.882425945439644,0.7291654573247422,37684,22973,5021
GakuenNoise,002,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/002.jpg,/content/data/groundtruth/post-processed/GakuenNoise/002.png,/content/benchmark_unetpp/masks/GakuenNoise/002.png,1170,1654,0.5,0.3183195029999979,0.6321094430833484,0.6711066110364331,0.9158110393787073,0.7745919806568607,38443,18840,3534
GakuenNoise,001,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/001.jpg,/content/data/groundtruth/post-processed/GakuenNoise/001.png,/content/benchmark_unetpp/masks/GakuenNoise/001.png,1170,1654,0.5,0.32146357200008424,0.5662061413377736,0.6298286305461462,0.8486027113918928,0.7230288866753505,37745,22184,6734
GakuenNoise,008,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/008.jpg,/content/data/groundtruth/post-processed/GakuenNoise/008.png,/content/benchmark_unetpp/masks/GakuenNoise/008.png,1170,1654,0.5,0.32189104700000826,0.7576746056570892,0.8275256222547585,0.8997612098699921,0.8621329604677769,16956,3534,1889
GakuenNoise,007,/content/data/raw/Manga109s_released_2026_05_21/images/GakuenNoise/007.jpg,/content/data/groundtruth/post-processed/GakuenNoise/007.png,/content/benchmark_unetpp/masks/GakuenNoise/007.png,1170,1654,0.5,0.3213451269999723,0.7052440997457562,0.8231124299373558,0.8312220961029133,0.8271473859383589,54923,11803,11152
UchiNoNyan'sDiary,000,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/000.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/000.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/000.png,1170,1654,0.5,0.31994133099999544,0.640598470446531,0.6559284382267064,0.9648005070650333,0.7809326681527085,88286,46311,3221
UchiNoNyan'sDiary,005,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/005.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/005.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/005.png,1170,1654,0.5,0.32090100400000665,0.02481117161426313,0.02505321035828308,0.7197452229299363,0.048420962420191116,1130,43974,440
UchiNoNyan'sDiary,003,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/003.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/003.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/003.png,1170,1654,0.5,0.32301401400002305,0.38734347757172294,0.4163826887033566,0.847420892934547,0.5583959327068635,9775,13701,1760
UchiNoNyan'sDiary,009,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/009.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/009.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/009.png,1170,1654,0.5,0.32244380999998157,0.8022496629054006,0.8768616196090598,0.904106850081977,0.8902758362702052,22609,3175,2398
UchiNoNyan'sDiary,004,/content/data/raw/Manga109s_released_2026_05_21/images/UchiNoNyan'sDiary/004.jpg,/content/data/groundtruth/post-processed/UchiNoNyan'sDiary/004.png,/content/benchmark_unetpp/masks/UchiNoNyan'sDiary/004.png,1170,1654,0.5,0.3226236240000162,0.21282810187709322,0.21830310777342815,0.8945817646095924,0.35096169283627143,5465,19569,644
